,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Headline,Source,Market_Event,Market_Index,Index_Change_Percent,Trading_Volume,Sentiment,Sector,Impact_Level,Related_Company,News_Url,text_clean,label_id,ESG_Label,Impact_Level_Code,ESG_Controversy,Year,Sentiment_Code
0,0,0,0,0,2025-05-21,Nikkei 225 index benefits from a weaker yen,Times of India,Carbon Emissions Violation,DAX,3.52,166.45,Negative,Technology,High,JPMorgan Chase,https://timesofindia.indiatimes.com/business/markets/stock-market-crash,nikkei 225 index benefits from a weaker yen,2,Environmental,2,1,2025,-1.0
1,1,1,1,1,2025-05-18,Government subsidy program gives a lift to the agriculture sector,Financial Times,Antitrust Investigation,Shanghai Composite,-3.39,57.61,,Retail,Low,Chevron Corporation,https://timesofindia.indiatimes.com/business/markets/stock-market-crash,government subsidy program gives a lift to the agriculture sector,1,Governance,0,0,2025,
2,2,2,2,2,2025-06-25,New housing data release shows a slowdown in market activity,The Hindu Business Line,Worker Strike,Shanghai Composite,-0.05,403.22,Neutral,Retail,Medium,Lockheed Martin,https://www.moneycontrol.com/us-markets/sp-500,new housing data release shows a slowdown in market activity,3,Social,1,1,2025,0.0
3,3,3,3,3,2025-07-21,Massive stock buyback program announced by a consumer goods company,The Economist,Carbon Emissions Violation,NSE Nifty,-2.29,100.11,Positive,Consumer Goods,Low,Intel,https://www.cnbc.com/2025/09/automotive-industry-trends,massive stock buyback program announced by a consumer goods company,2,Environmental,0,0,2025,1.0
4,4,4,4,4,2025-07-23,Government spending bill is expected to stimulate the economy,The Motley Fool,Antitrust Investigation,Nasdaq Composite,-3.97,438.22,Negative,Consumer Goods,Low,Bank of America,https://www.bloomberg.com/australia/asx-200-performance,government spending bill is expected to stimulate the economy,11,Governance,0,0,2025,-1.0
5,5,5,5,5,2025-03-18,Central bank maintains status quo on interest rates,Bloomberg,Product Safety Recall,IBOVESPA,0.56,36.24,Negative,Transportation,Low,Chevron Corporation,https://www.reuters.com/markets/indices/ftse-100,central bank maintains status quo on interest rates,19,Social,0,0,2025,-1.0
6,6,6,6,6,2025-03-02,Tech Giant's New Product Launch Sparks Sector-Wide Gains,Barron's,Executive Misconduct,Shanghai Composite,-3.68,273.35,Neutral,Telecommunications,Medium,Bank of America,https://www.cnbc.com/2025/08/russia-ukraine-war-economic-impact,tech giant's new product launch sparks sector wide gains,10,Governance,1,1,2025,0.0
7,7,7,7,7,2025-04-05,A massive data breach sends a tech company's stock tumbling,Wall Street Journal,Human Rights Allegation,DAX,-4.33,420.89,Positive,Retail,Low,Bank of America,https://www.ft.com/content/tech-sector-innovation,a massive data breach sends a tech company's stock tumbling,8,Social,0,0,2025,1.0
8,8,8,8,8,2025-04-08,,Financial Times,Accounting Fraud Investigation,S&P/TSX Composite,-3.77,209.41,Positive,Automotive,Low,Bank of America,https://www.investopedia.com/articles/government-policy-announcement,,18,Governance,0,0,2025,1.0
9,9,9,9,9,2025-06-18,Market sentiment turns positive on vaccine trial results,Investopedia,Regulatory Compliance Failure,Nikkei 225,3.35,76.55,Negative,Energy,Low,Bank of America,https://www.wsj.com/europe/dax-performance,market sentiment turns positive on vaccine trial results,18,Governance,0,0,2025,-1.0
